Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
86,CFIRE,151.370000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,CALFIRE DISPATCH,,,,
87,VFR21,154.280000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,"CAL FIRE TAC, VFIRE21",,,,
88,VFR22,154.265000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,"CAL FIRE TAC, VFIRE22",,,,
89,VFR23,154.295000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,"CAL FIRE TAC, VFIRE23",,,,
90,F-RED,154.325000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,SANTA CRUZ COUNTY FIRE RED (DISPATCH),,,,
91,FRBLK,154.055000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,COUNTY FIRE BLACK,,,,
92,FRYLO,154.190000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,COUNTY FIRE YELLOW,,,,
93,FRBLU,154.415000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,COUNTY FIRE BLUE,,,,
94,FRGRN,154.445000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,COUNTY FIRE GREEN,,,,
95,SC PD,154.770000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,SANTA CRUZ CITY POLICE DISPATCH,,,,
96,SV PD,155.085000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,SCOTTS VALLEY CITY POLICE DISPATCH,,,,
97,CPTPD,155.625000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,CAPITOLA POLICE,,,,
98,WSVPD,154.450000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,WATSONVILLE POLICE,,,,
99,CACOR,156.075000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,CALIFORNIA COORDINATION FREQUENCY,,,,
100,CLERS,458.875000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,CALIFORNIA INTEROPERATION FREQUENCY,,,,
101,HOSP,155.385000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,AMBULANCE-TO-HOSPITAL,,,,
102,MDNET,463.050000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,INTER-HOSPITAL COMMUNICATION,,,,
103,ROADS,151.100000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,SANTA CRUZ COUNTY ROADS,,,,
104,ANIML,155.055000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,SANTA CRUZ COUNTY ANIMAL CONTROL,,,,
106,K6JE,145.470000,-,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,MONTEREY ARES - 1,,,,
107,K6LY,146.970000,-,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,MONTEREY ARES - 2,,,,
108,W6FM,146.730000,-,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,MONTEREY ARES - 3,,,,
109,ECE2M,147.270000,+,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,S,MONTEREY ARES - 4 + SALINAS VALLEY REPEATER GROUP,,,,
110,W6WLS,147.180000,,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,S,DEFUNCT - SALINAS VALLEY REPEATER GROUP,,,,
112,SBC1,147.315000,+,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,SAN BENITO ARES: HOLLISTER,,,,
113,SBC2,145.410000,+,0.600000,Tone,118.8,88.5,023,NN,FM,5.00,,SAN BENITO ARES: CALLMTN PANOCHE,,,,
114,SBC3,146.625000,-,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,SAN BENITO ARES: SOUTH COUNTY,,,,
116,W6TI,147.360000,+,0.600000,Tone,110.9,88.5,023,NN,FM,5.00,,SANTA CLARA ARES MESSAGE NET,,,,
117,K6FB,145.450000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,SANTA CLARA ARES MESSAGE NET ALTERNATE - K6FB (LINKED),,,,
118,K6FB7,442.575000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,SANTA CLARA ARES MESSAGE NET ALTERNATE - K6FB (LINKED),,,,
119,W6GGF,442.500000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,SANTA CLARA ARES COMMAND,,,,
120,K6SNY,443.275000,+,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,SANTA CLARA ARES COMMAND ALT/RESOURCE ALT,,,,
121,AA6BT,146.115000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,SANTA CLARA ARES RESOURCE NET PRIMARY,,,,
122,W6ASH,145.270000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,SANTA CLARA ARES RESOURCE NET NORTH,,,,
123,ASH70,440.800000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,SANTA CLARA ARES RESOURCE NET NORTH ALTERNATE,,,,
124,N6NAC,444.625000,+,5.000000,Tone,110.9,88.5,023,NN,FM,5.00,,SANTA CLARA ARES RESOURCE NET SOUTH,,,,
125,N6NFI,145.230000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,SANTA CLARA ARES HOSPITAL NET,,,,
126,CALL7,446.000000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,NATIONAL CALLING - 70CM,,,,
127,CALL2,146.520000,,0.600000,,100.0,88.5,023,NN,FM,5.00,,NATIONAL CALLING - 2M,,,,
